City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,fortuna,40.5982,-124.1573,281.47,94,0,0.45,US,1675707388
130,port alfred,-33.5906,26.891,296.58,86,7,1.79,ZA,1675707175
131,tuktoyaktuk,69.4541,-133.0374,231.15,66,20,1.03,CA,1675707352
132,vostok,46.4856,135.8833,252.4,98,100,2.15,RU,1675707662
133,berezniki,59.4152,56.8124,248.87,100,82,1.35,RU,1675707618
134,traverse city,44.7631,-85.6206,271.95,78,41,3.65,US,1675707662
135,piterka,50.6803,47.4454,261.19,94,98,3.93,RU,1675707621
136,port blair,11.6667,92.75,299.17,89,40,0.0,IN,1675707663
137,rio grande,-32.035,-52.0986,308.21,58,0,5.69,BR,1675707663
138,antalaha,-14.9003,50.2788,297.42,90,100,2.19,MG,1675707443
139,henties bay,-22.116,14.2845,291.64,85,98,3.02,NA,1675707474
140,lebu,-37.6167,-73.65,291.5,65,2,8.13,CL,1675707408
141,beringovskiy,63.05,179.3167,243.7,96,86,4.02,RU,1675707664
142,gonzales,30.2385,-90.9201,294.87,53,0,2.24,US,1675707664
143,bayburt,40.2589,40.2278,269.97,95,100,2.31,TR,1675707664
144,madarounfa,13.3087,7.156,301.89,14,100,4.53,NE,1675707665
145,thompson,55.7435,-97.8558,265.24,86,100,1.03,CA,1675707457
146,jamestown,42.097,-79.2353,272.05,97,100,2.24,US,1675707370
147,vanimo,-2.6741,141.3028,298.15,89,100,2.04,PG,1675707665
148,barrow,71.2906,-156.7887,251.16,71,100,1.54,US,1675707286
149,saint-pierre,-21.3393,55.4781,299.97,69,0,5.14,RE,1675707652
150,khandbari,27.3747,87.2039,285.05,78,81,0.79,NP,1675707666
151,boden,65.8252,21.6886,273.15,93,100,3.2,SE,1675707666
152,aksha,50.2814,113.2867,253.52,96,35,2.15,RU,1675707666
153,hofn,64.2539,-15.2082,274.16,93,100,2.57,IS,1675707514
154,harindanga,22.0383,88.3214,293.69,81,5,3.64,IN,1675707667
155,sisimiut,66.9395,-53.6735,255.67,95,100,3.02,GL,1675707347
156,nizhniy tsasuchey,50.5167,115.1333,253.51,95,26,2.7,RU,1675707632
157,voi,-3.3945,38.563,297.53,61,81,3.38,KE,1675707667
158,nome,64.5011,-165.4064,259.19,72,0,5.14,US,1675707240
159,cidreira,-30.1811,-50.2056,298.74,64,24,4.78,BR,1675707248
